"Name in English","Countries","Degree of endangerment"
"Shipibo-Conibo","Peru","Definitely endangered"
"Amba","Uganda","Vulnerable"
"Tsez","Russian Federation","Definitely endangered"
"Bonan","China","Definitely endangered"
"Chrau","Viet Nam","Definitely endangered"
"Dari","Iran (Islamic Republic of)","Definitely endangered"
"Dzala","Bhutan","Vulnerable"
"Ersu","China","Definitely endangered"
"Gangte","India","Definitely endangered"
"Gurdu-Mbaaru","Nigeria","Severely endangered"
"Ha-lung Tibetan","Nepal","Definitely endangered"
"Hlersu","China","Vulnerable"
"Juk","Lao People's Democratic Republic","Definitely endangered"
"Kwama","Ethiopia","Vulnerable"
"Laemae","China","Severely endangered"
"Lavua","Thailand","Definitely endangered"
"Macushi (Brazil)","Brazil","Vulnerable"
"Nahali","India","Definitely endangered"
"Naluo","China","Vulnerable"
"Nyoe","Thailand","Definitely endangered"
"O'odham (Akimel)","United States of America","Definitely endangered"
"O'odham (Tohono)","United States of America","Definitely endangered"
"Paiwan","China","Vulnerable"
"Rao","China","Definitely endangered"
"Semai","Malaysia","Severely endangered"
"Shatt","Sudan","Severely endangered"
"Siwi","Egypt","Definitely endangered"
"Tagargrent","Algeria","Severely endangered"
"Tayurayt","Algeria","Vulnerable"
"Totoli","Indonesia","Vulnerable"
"Aruaco","Colombia","Vulnerable"
"Yakkha","Nepal","Critically endangered"
"Kuruba","India","Critically endangered"
"Tuamotuan","French Polynesia (France)","Definitely endangered"
"Katla","Sudan","Definitely endangered"
"Garífuna (Belize)","Belize","Vulnerable"
"Thulung","Nepal","Definitely endangered"
"Bawm","Bangladesh, India","Definitely endangered"
"Guajajara","Brazil","Vulnerable"
"Niuean","Niue","Definitely endangered"
"Uhunduni","Indonesia","Vulnerable"
"Gusilay","Senegal","Vulnerable"
"Xavante","Brazil","Vulnerable"
"Dondo","Indonesia","Vulnerable"
"Khampti","India","Vulnerable"
"Nalu","Guinea","Definitely endangered"
"Tagoi","Sudan","Severely endangered"
"Karko","Sudan","Definitely endangered"
"San Mateo del Mar Huave","Mexico","Vulnerable"
"Q'eqchi' (Belize)","Belize","Vulnerable"
"Kadaru","Sudan","Definitely endangered"
"Mazatlán Mazatec","Mexico","Vulnerable"
"Badiaranke","Guinea","Severely endangered"
"Alune","Indonesia","Vulnerable"
"Bangani","India","Critically endangered"
"Chamalal","Russian Federation","Definitely endangered"
"Chru","Viet Nam","Vulnerable"
"Hill Miri","India","Definitely endangered"
"Jinuo","China","Definitely endangered"
"Muya","China","Vulnerable"
"Samei","China","Severely endangered"
"Tajio","Indonesia","Vulnerable"
"Tobada'","Indonesia","Extinct"
"Yurt Tatar","Russian Federation","Definitely endangered"
"Yaqui (Mexico)","Mexico","Vulnerable"
"Ch'orti' (Guatemala)","Guatemala","Definitely endangered"
"Filomeno Mata Totonac","Mexico","Vulnerable"
"Northern Totonac","Mexico","Critically endangered"
"Komo","Ethiopia, Sudan","Definitely endangered"
"Tuwuli","Ghana","Vulnerable"
