"Name in English","Countries","Degree of endangerment"
"Mahongwe","Gabon","Severely endangered"
"Manchurian Ölöt","China","Severely endangered"
"May","Lao People's Democratic Republic, Viet Nam","Definitely endangered"
"Mbara","Chad","Severely endangered"
"Mech","India","Severely endangered"
"Mòcheno","Italy","Definitely endangered"
"Naueti","Timor-Leste","Vulnerable"
"North Greenlandic","Greenland (Kingdom of Denmark)","Definitely endangered"
"Ormuri","Pakistan, Afghanistan","Definitely endangered"
"Paiter","Brazil","Vulnerable"
"Pareci","Brazil","Definitely endangered"
"Pasi","India","Definitely endangered"
"Resian","Italy","Definitely endangered"
"Sach","Lao People's Democratic Republic, Viet Nam","Definitely endangered"
"Sake","Gabon","Severely endangered"
"Saterlandic","Germany","Severely endangered"
"She","China","Critically endangered"
"Shumashti","Afghanistan","Severely endangered"
"Sighu","Gabon","Severely endangered"
"Sobei","Indonesia","Definitely endangered"
"Thavung (Laos)","Lao People's Democratic Republic, Thailand","Definitely endangered"
"Tirma","Sudan","Critically endangered"
"Tombelala","Indonesia","Vulnerable"
"Toto","India","Critically endangered"
"Trio (Suriname)","Suriname","Vulnerable"
"Tum","Lao People's Democratic Republic","Definitely endangered"
"Tuotomb","Cameroon","Severely endangered"
"Yatê","Brazil","Severely endangered"
"Zaiwa","China, India","Definitely endangered"
"Zay","Ethiopia","Severely endangered"
"Zenaga (Western Sahara)","Western Sahara","Critically endangered"
"|Gui","Botswana","Vulnerable"
"ǁAni","Botswana","Definitely endangered"
"Buglé","Panama","Definitely endangered"
"Ka'apór","Brazil","Vulnerable"
"Hadza","United Republic of Tanzania","Vulnerable"
"Kunwinjku","Australia","Vulnerable"
"Bakairi","Brazil","Vulnerable"
"Drubea","New Caledonia (France)","Vulnerable"
"Namonuito","Micronesia (Federated States of)","Severely endangered"
"Hya","Cameroon, Nigeria","Severely endangered"
"Machineri (Brazil)","Brazil","Vulnerable"
"South Slavey","Canada","Definitely endangered"
"Wajãpi","Brazil","Vulnerable"
"Mewahang","Nepal","Severely endangered"
"Awapit","Ecuador","Severely endangered"
"Chimila","Colombia","Severely endangered"
"Kua","Botswana","Definitely endangered"
"Njalgulgule","Sudan","Severely endangered"
"Pech","Honduras","Severely endangered"
"Rikbaktsa","Brazil","Severely endangered"
"Caac","New Caledonia (France)","Vulnerable"
"Inuinnaqtun","Canada","Definitely endangered"
"Voh-Koné dialects","New Caledonia (France)","Definitely endangered"
"Kuna (Colombia)","Colombia","Severely endangered"
"Dení","Brazil","Vulnerable"
"Tarao","India","Critically endangered"
"Santa María del Mar Huave","Mexico","Severely endangered"
"Nukuoro","Micronesia (Federated States of)","Definitely endangered"
"Mixtec of Santa Cruz Itundujia","Mexico","Definitely endangered"
"Zapotec of the Southern mountains, northeast","Mexico","Definitely endangered"
"Kumak","New Caledonia (France)","Vulnerable"
"Pukapukan","Cook Islands","Definitely endangered"
"Lola","Indonesia","Vulnerable"
"Ashaninka (Brazil)","Brazil","Vulnerable"
"Ottawa (Canada)","Canada, United States of America","Severely endangered"
"Bati","Cameroon","Severely endangered"
"Chorote Iyojwa'ja","Argentina, Paraguay","Severely endangered"
"Eman","Cameroon","Severely endangered"
"Isu","Cameroon","Severely endangered"
"Jamamadí","Brazil","Vulnerable"
"Javaé","Brazil","Definitely endangered"
"Nubaca","Cameroon","Severely endangered"
"Panasuan","Indonesia","Definitely endangered"
"Piaroa (Colombia)","Colombia","Definitely endangered"
"Taos","United States of America","Definitely endangered"
"Taulil","Papua New Guinea","Vulnerable"
"Tuyuca (Brazil)","Brazil","Vulnerable"
"Kaike","Nepal","Definitely endangered"
"Kildin Saami","Russian Federation","Severely endangered"
"Ese eja","Bolivia (Plurinational State of), Peru","Definitely endangered"
"Central Cagayan Agta","Philippines","Vulnerable"
"Mixtec of Santa Inés de Zaragoza","Mexico","Definitely endangered"
"Ocopetatillo Mazatec","Mexico","Vulnerable"
"Jaqaru","Peru","Severely endangered"
"Waiwai (Suriname)","Suriname","Critically endangered"
"Laal","Chad","Critically endangered"
"Ulcha","Russian Federation","Critically endangered"
"Jawe","New Caledonia (France)","Vulnerable"
"Maslam","Cameroon, Chad","Severely endangered"
"Nambiquara do Sul","Brazil","Vulnerable"
"North Slavey","Canada","Definitely endangered"
"Gitksan","Canada","Severely endangered"
"A'ingae / Cofan (Ecuador)","Ecuador","Definitely endangered"
"Animere","Ghana","Critically endangered"
"Batek","Malaysia","Critically endangered"
"Enggano","Indonesia","Vulnerable"
"Indri","Sudan","Severely endangered"
"Kalaw Lagaw Ya","Australia","Definitely endangered"
"Lakon","Vanuatu","Vulnerable"
"Mok (China)","China","Definitely endangered"
"Ngaanyatjarra","Australia","Vulnerable"
"Ngatikese Men's Creole","Micronesia (Federated States of)","Definitely endangered"
"Piratapuya (Brazil)","Brazil","Severely endangered"
"Mountain Guarijío","Mexico","Vulnerable"
"Nivkh (Sakhalin)","Russian Federation","Severely endangered"
"Krikati","Brazil","Vulnerable"
"Dakota","Canada","Definitely endangered"
"Carrier","Canada","Severely endangered"
"Matlatzinca","Mexico","Definitely endangered"
"Kasanga","Guinea-Bissau","Critically endangered"
"Wanano / Kotiria (Brazil)","Brazil","Vulnerable"
"Central Popoloc","Mexico","Severely endangered"
"Eastern Ojibwe","Canada","Severely endangered"
"River Guarijío","Mexico","Vulnerable"
"Yuhup (Brazil)","Brazil","Vulnerable"
"Ocoyoacac Otomí","Mexico","Severely endangered"
"Akum","Cameroon, Nigeria","Critically endangered"
"Blablanga","Solomon Islands","Definitely endangered"
"Bubia","Cameroon","Severely endangered"
"Chickasaw","United States of America","Severely endangered"
"Desano (Brazil)","Brazil","Definitely endangered"
"Faetar","Italy","Definitely endangered"
"Hixkaryána","Brazil","Vulnerable"
"Hoava","Solomon Islands","Vulnerable"
"Hodi","Venezuela (Bolivarian Republic of)","Vulnerable"
"Iñapari","Peru","Critically endangered"
"Koke","Chad","Severely endangered"
"Kowiai","Indonesia","Vulnerable"
"Kuikuro","Brazil","Vulnerable"
"Laiyolo","Indonesia","Definitely endangered"
"Mo'da","Sudan","Critically endangered"
"Northern Selkup","Russian Federation","Severely endangered"
"Penrhyn","Cook Islands","Severely endangered"
"Pintupi","Australia","Vulnerable"
"Piratapuya (Colombia)","Colombia","Critically endangered"
"Siona / Secoya (Ecuador)","Ecuador","Severely endangered"
"Sonsorol","Palau","Severely endangered"
"Teanu","Solomon Islands","Definitely endangered"
"Yaminahua (Brazil)","Brazil","Vulnerable"
"Andoke","Colombia","Severely endangered"
"Southern Tlapanec","Mexico","Severely endangered"
"Orowe","New Caledonia (France)","Definitely endangered"
"Mosetén","Bolivia (Plurinational State of)","Severely endangered"
"Chatong","Lao People's Democratic Republic","Definitely endangered"
"Norfolk-Pitcairn (Norfolk)","Norfolk Island (Australia)","Definitely endangered"
"Nunatsiavummiutut","Canada","Definitely endangered"
"Shuswap","Canada","Definitely endangered"
"Xaragure","New Caledonia (France)","Vulnerable"
"Tapirapé","Brazil","Vulnerable"
"Lacandón","Mexico","Critically endangered"
"Zapotec of Zimatlán de Álvarez","Mexico","Definitely endangered"
"Chilcotin","Canada","Definitely endangered"
"Chácobo","Bolivia (Plurinational State of)","Definitely endangered"
"Gao","Solomon Islands","Vulnerable"
"Geme","Central African Republic","Critically endangered"
"Karore","Papua New Guinea","Vulnerable"
"Yuhup (Colombia)","Colombia","Definitely endangered"
"Western Tlapanec","Mexico","Vulnerable"
"Hinukh","Russian Federation","Definitely endangered"
"Anuki","Papua New Guinea","Definitely endangered"
"Imeraguen","Mauritania","Definitely endangered"
"Narpa","Nepal","Definitely endangered"
"Akatek (Mexico)","Mexico","Vulnerable"
"Naskapi","Canada","Vulnerable"
"Archi","Russian Federation","Definitely endangered"
"Yawanawá","Brazil","Vulnerable"
"Raute","Nepal","Severely endangered"
"Seri","Mexico","Vulnerable"
"Western Popoloc","Mexico","Severely endangered"
"Yaqui (United States of America)","United States of America","Definitely endangered"
"Kalapalo","Brazil","Vulnerable"
"Nganasan","Russian Federation","Severely endangered"
"Jakaltek (Mexico)","Mexico","Severely endangered"
"Zapotec of San Antonino el Alto","Mexico","Definitely endangered"
"Purum","India","Critically endangered"
"Aheu","Lao People's Democratic Republic","Definitely endangered"
"Amahuaca","Peru","Severely endangered"
"Anfillo","Ethiopia","Critically endangered"
"Arbanasi","Croatia","Severely endangered"
"Baniva","Venezuela (Bolivarian Republic of)","Severely endangered"
"Bataan Ayta","Philippines","Definitely endangered"
"Bats","Georgia","Severely endangered"
"Black Mountain","Bhutan","Definitely endangered"
"Busoa","Indonesia","Vulnerable"
"Chong","Cambodia, Thailand","Severely endangered"
"Domaaki","Pakistan","Severely endangered"
"Ganan","Myanmar","Severely endangered"
"Havasupai","United States of America","Definitely endangered"
"Kensiw (Thailand)","Thailand","Severely endangered"
"Khmin","China","Vulnerable"
"Khvarshi","Russian Federation","Definitely endangered"
"Kundal Shahi","India, Pakistan","Definitely endangered"
"Laghuu","Viet Nam","Definitely endangered"
"Laha (Lao Cai)","Viet Nam","Definitely endangered"
"Laha (Son La)","Viet Nam","Definitely endangered"
"Langa","Cameroon","Severely endangered"
"Laxudumau","Papua New Guinea","Vulnerable"
"Majera","Cameroon","Critically endangered"
"Maliseet-Passamaquoddy","United States of America","Severely endangered"
"Mikasuki","United States of America","Vulnerable"
"Mlomp","Senegal","Critically endangered"
"Onin","Indonesia","Vulnerable"
"Ormu","Indonesia","Vulnerable"
"Palikur (French Guyana)","French Guiana (France)","Severely endangered"
"Pemon (Brazil)","Brazil","Vulnerable"
"Quechua of Chachapoyas","Peru","Critically endangered"
"Samatu","China","Critically endangered"
"Seke","Nepal","Vulnerable"
"Siona / Secoya (Colombia)","Colombia","Critically endangered"
"South Saami","Norway, Sweden","Severely endangered"
"Taikat","Indonesia","Definitely endangered"
"Taloki","Indonesia","Definitely endangered"
"Tamki","Chad","Critically endangered"
"Tawahka","Honduras","Severely endangered"
"Thavung (Thailand)","Thailand","Severely endangered"
"Tomadino","Indonesia","Definitely endangered"
"Toratán","Indonesia","Definitely endangered"
"Tunisian Judeo-Arabic (Tunisia)","Tunisia","Critically endangered"
"Ulwa","Nicaragua","Severely endangered"
"Ute (Colorado, Ute Mountain)","United States of America","Severely endangered"
"Walmajarri","Australia","Definitely endangered"
"Warekena (Venezuela)","Venezuela (Bolivarian Republic of)","Severely endangered"
"Boguru","Democratic Republic of the Congo, Sudan","Critically endangered"
"Pukobyê","Brazil","Vulnerable"
"Swoeng","Lao People's Democratic Republic","Definitely endangered"
"Wali","Sudan","Critically endangered"
"Gavião do Pará","Brazil","Vulnerable"
"Malecite","Canada, United States of America","Definitely endangered"
"Ninam (Brazil)","Brazil","Vulnerable"
"Zoró","Brazil","Vulnerable"
"Sanema (Brazil)","Brazil","Vulnerable"
"Ixtenco Otomí","Mexico","Severely endangered"
"Ottawa (Michigan)","United States of America","Critically endangered"
"Kanela Apaniekra","Brazil","Vulnerable"
"Satawal","Micronesia (Federated States of)","Severely endangered"
"Chatino of Zacatepec","Mexico","Definitely endangered"
"Demisa","Indonesia","Definitely endangered"
"Koasati (Louisiana)","United States of America","Definitely endangered"
"Koasati (Texas)","United States of America","Definitely endangered"
"Nanti","Peru","Vulnerable"
"Shabo","Ethiopia","Severely endangered"
"Sharanahua","Peru","Severely endangered"
"Siona  Secoya (Peru)","Peru","Definitely endangered"
"Tolomako","Vanuatu","Definitely endangered"
"Enawenê-Nawê","Brazil","Vulnerable"
"Valle Nacional Chinantec","Mexico","Definitely endangered"
"Gavião de Rondônia","Brazil","Vulnerable"
"Tabasco Náhuatl","Mexico","Critically endangered"
"Sera","Papua New Guinea","Severely endangered"
"Yecuana (Brazil)","Brazil","Vulnerable"
"Alabugat Tatar","Russian Federation","Definitely endangered"
"Zapotec of the Southern mountains, eastern lowlands","Mexico","Definitely endangered"
"Western Otomí","Mexico","Severely endangered"
"Moose Cree","Canada","Vulnerable"
"Tlahuica","Mexico","Severely endangered"
"Katukina do Acre","Brazil","Severely endangered"
"Abai Sungai","Malaysia","Definitely endangered"
"Barasana (Colombia)","Colombia","Critically endangered"
"Beezen","Cameroon","Severely endangered"
"Buga","Sudan","Critically endangered"
"Cheyenne (Oklahoma)","United States of America","Severely endangered"
"Cimbrian","Italy","Definitely endangered"
"Cobiana","Guinea-Bissau, Senegal","Critically endangered"
"Dagur (Amur)","China","Critically endangered"
"Dahalo","Kenya","Severely endangered"
"Émérillon","French Guiana (France)","Severely endangered"
"Gagauz (Maritime)","Bulgaria, Romania","Severely endangered"
"Hijuk","Cameroon","Critically endangered"
"Hobyot","Oman, Yemen","Severely endangered"
"Inari Saami","Finland","Severely endangered"
"Istriot","Croatia","Severely endangered"
"Kalao","Indonesia","Definitely endangered"
"Kamaiurá","Brazil","Vulnerable"
"Kickapoo (Kansas)","United States of America","Severely endangered"
"Kickapoo (Oklahoma)","United States of America","Severely endangered"
"Kickapoo (Texas)","United States of America","Severely endangered"
"Kiowa","United States of America","Severely endangered"
"Koroni","Indonesia","Definitely endangered"
"Lamongse","India","Critically endangered"
"Ndunda","Nigeria","Severely endangered"
"Northern Paiute (Nevada)","United States of America","Definitely endangered"
"Pupeo","China","Definitely endangered"
"Rapa","French Polynesia (France)","Severely endangered"
"Red Gelao (China)","China","Critically endangered"
"Sengseng","Papua New Guinea","Vulnerable"
"Sirionó","Bolivia (Plurinational State of)","Severely endangered"
"Talondo","Indonesia","Definitely endangered"
"Yaminahua (Bolivia, Peru)","Bolivia (Plurinational State of), Peru","Severely endangered"
"Mixtec of Zapotitlán","Mexico","Severely endangered"
"Sanema (Venezuela)","Venezuela (Bolivarian Republic of)","Vulnerable"
"Ts'ixa","Botswana","Definitely endangered"
"Pirahã","Brazil","Vulnerable"
"Mixtec of San Pedro Tidaá","Mexico","Severely endangered"
"Yerong","China","Severely endangered"
"A'ingae / Cofan (Colombia)","Colombia","Severely endangered"
"Halkomelem","Canada, United States of America","Severely endangered"
"Yudja","Brazil","Vulnerable"
"Kisêdjê","Brazil","Vulnerable"
"Auye","Indonesia","Vulnerable"
"Awyi","Indonesia","Vulnerable"
"Bierebo","Vanuatu","Vulnerable"
"Fayu","Indonesia","Vulnerable"
"Labo","Vanuatu","Vulnerable"
"Mra","China, India","Critically endangered"
"Myky","Brazil","Vulnerable"
"Na","China, India","Critically endangered"
"Nadëb","Brazil","Definitely endangered"
"Taje","Indonesia","Critically endangered"
"Tenharim","Brazil","Severely endangered"
"Mako","Venezuela (Bolivarian Republic of)","Critically endangered"
"Barām","Nepal","Critically endangered"
"Ikpeng","Brazil","Vulnerable"
"Gardiol","Italy","Severely endangered"
"Araweté","Brazil","Vulnerable"
"Northern Pame","Mexico","Definitely endangered"
"Thompson","Canada","Severely endangered"
"Serili","Indonesia","Vulnerable"
"Kaningara","Papua New Guinea","Vulnerable"
"Misantla Totonac","Mexico","Critically endangered"
"Nemi","New Caledonia (France)","Definitely endangered"
"Nambiquara do Norte","Brazil","Vulnerable"
"Matís","Brazil","Vulnerable"
"Wauja","Brazil","Vulnerable"
"Benggoi","Indonesia","Definitely endangered"
"Karitiana","Brazil","Vulnerable"
"Apalai","Brazil","Vulnerable"
"Kwak'wala","Canada, United States of America","Critically endangered"
"Southern Zoque","Mexico","Definitely endangered"
"Tilung","Nepal","Definitely endangered"
"Opuuo","Ethiopia","Critically endangered"
"Panará","Brazil","Vulnerable"
"Aka","India","Critically endangered"
"Bakole","Cameroon","Critically endangered"
"Bathari","Oman","Critically endangered"
"Brokkat","Bhutan","Definitely endangered"
"Duwet","Papua New Guinea","Vulnerable"
"Faire Atta","Philippines","Severely endangered"
"Green Gelao (China)","China","Critically endangered"
"Green Gelao (Viet Nam)","Viet Nam","Critically endangered"
"Guatuso","Costa Rica","Severely endangered"
"Gupapuyngu","Australia","Vulnerable"
"Istro-Romanian","Croatia","Severely endangered"
"Jicarilla Apache","United States of America","Severely endangered"
"Kandas","Papua New Guinea","Vulnerable"
"Kangjia","China","Severely endangered"
"Kaxarari","Brazil","Critically endangered"
"Kwansu","Indonesia","Vulnerable"
"Legenyem","Indonesia","Vulnerable"
"Mandaic","Iran (Islamic Republic of), Iraq","Critically endangered"
"Mangareva","French Polynesia (France)","Severely endangered"
"Mani","Guinea, Sierra Leone","Critically endangered"
"Maniq","Thailand","Definitely endangered"
"Mono","Cameroon","Critically endangered"
"Northern Paiute (Oregon)","United States of America","Critically endangered"
"Phong","Lao People's Democratic Republic","Definitely endangered"
"Shanenawa","Brazil","Vulnerable"
"Sissano","Papua New Guinea","Critically endangered"
"Skolt Saami","Finland, Norway, Russian Federation","Severely endangered"
"Tarpia","Indonesia","Severely endangered"
"Tause","Indonesia","Vulnerable"
"Thaayorre","Australia","Definitely endangered"
"Tlingit (United States of America)","United States of America","Critically endangered"
"Tol","Honduras","Critically endangered"
"Tsakonian","Greece","Critically endangered"
"Tuahka","Nicaragua","Severely endangered"
"Ute (Utah)","United States of America","Severely endangered"
"Vedda","Sri Lanka","Definitely endangered"
"Vera'a","Vanuatu","Definitely endangered"
"Warapu","Papua New Guinea","Severely endangered"
"Waru","Indonesia","Definitely endangered"
"Yawarana","Venezuela (Bolivarian Republic of)","Severely endangered"
"Yimas","Papua New Guinea","Severely endangered"
"Tilapa Otomí","Mexico","Severely endangered"
"Paumarí","Brazil","Severely endangered"
"Wayana (Brazil)","Brazil","Vulnerable"
"Achagua","Colombia","Severely endangered"
"Guajá","Brazil","Vulnerable"
"Maniwaki Algonquin","Canada","Severely endangered"
"Alabama","United States of America","Definitely endangered"
"Cocopa (Arizona)","United States of America","Severely endangered"
"Miltu","Chad","Critically endangered"
"Arara do Pará","Brazil","Vulnerable"
"Kaki Ae","Papua New Guinea","Vulnerable"
"Nisga'a","Canada","Severely endangered"
"Zapotec of the Valleys, central","Mexico","Severely endangered"
"Bosilewa","Papua New Guinea","Vulnerable"
"Caquinte Campa","Peru","Definitely endangered"
"Gwich'in (Canada)","Canada","Severely endangered"
"Kaibobo","Indonesia","Definitely endangered"
"Kaiep","Papua New Guinea","Vulnerable"
"Kaiy","Indonesia","Vulnerable"
"Laji","China","Critically endangered"
"Lehali","Vanuatu","Vulnerable"
"Lillooet","Canada","Severely endangered"
"Löyöp","Vanuatu","Vulnerable"
"Nyangumarta","Australia","Vulnerable"
"Pear","Cambodia","Severely endangered"
"Ruc","Lao People's Democratic Republic, Viet Nam","Definitely endangered"
"Sause","Indonesia","Severely endangered"
"Texistepecan","Mexico","Severely endangered"
"Winnebago (Nebraska)","United States of America","Severely endangered"
"Winnebago (Wisconsin)","United States of America","Severely endangered"
"Zapotec of San Bartolo Yautepec","Mexico","Severely endangered"
"Mixtec of San Miguel Piedras","Mexico","Severely endangered"
"North Alaskan Inupiaq (Canada)","Canada","Severely endangered"
"Waiwai (Guyana)","Guyana","Vulnerable"
"As","Indonesia","Vulnerable"
"Siglitun","Canada","Severely endangered"
"K'iche' (Mexico)","Mexico","Definitely endangered"
"Paipai","Mexico","Severely endangered"
"Garuwahi","Papua New Guinea","Definitely endangered"
"Picuris","United States of America","Vulnerable"
"Neku","New Caledonia (France)","Severely endangered"
"Tiri","New Caledonia (France)","Definitely endangered"
"Danisi","Botswana","Critically endangered"
"Emplawas","Indonesia","Definitely endangered"
"Mixtec of the northeast lowlands","Mexico","Severely endangered"
"Musom","Papua New Guinea","Definitely endangered"
"Pwaamèi","New Caledonia (France)","Definitely endangered"
"Zapotec of the Valleys, west","Mexico","Definitely endangered"
"Karo","Brazil","Vulnerable"
"Cocopa (Mexico)","Mexico","Definitely endangered"
"Korúbo","Brazil","Vulnerable"
"Aja","Sudan","Critically endangered"
"Antakirinya","Australia","Definitely endangered"
"Bana","Lao People's Democratic Republic","Severely endangered"
"Baras","Indonesia","Severely endangered"
"Batak","Philippines","Definitely endangered"
"Birri","Central African Republic","Critically endangered"
"Bonggo","Indonesia","Severely endangered"
"Central Siberian Yupik (Chukotka)","Russian Federation","Severely endangered"
"Chawte","Myanmar","Definitely endangered"
"Che Wong","Malaysia","Definitely endangered"
"Defaka","Nigeria","Critically endangered"
"Doga","Papua New Guinea","Definitely endangered"
"Dorig","Vanuatu","Definitely endangered"
"Dukha","Mongolia","Severely endangered"
"Emae","Vanuatu","Vulnerable"
"Erokwanas","Indonesia","Vulnerable"
"Gowro","Pakistan","Severely endangered"
"Hayu","Nepal","Critically endangered"
"Hidatsa","United States of America","Definitely endangered"
"Ingrian","Russian Federation","Severely endangered"
"Iwaidja","Australia","Vulnerable"
"Kadai","Indonesia","Definitely endangered"
"Kao","Indonesia","Definitely endangered"
"Karo","Ethiopia","Critically endangered"
"Kelo","Sudan","Critically endangered"
"Kokota","Solomon Islands","Vulnerable"
"Koneraw","Indonesia","Vulnerable"
"Koroshi","Iran (Islamic Republic of)","Critically endangered"
"Magori","Papua New Guinea","Vulnerable"
"Maung","Australia","Vulnerable"
"Mehináku","Brazil","Vulnerable"
"Moghol","Afghanistan","Critically endangered"
"Ningalami","Afghanistan","Severely endangered"
"Northern Alta","Philippines","Severely endangered"
"Numbani","Papua New Guinea","Vulnerable"
"Nung Ven","Viet Nam","Vulnerable"
"Ongamo","Kenya","Critically endangered"
"Orejón","Peru","Severely endangered"
"Pacific Gulf Yupik","United States of America","Severely endangered"
"Pipil","El Salvador","Critically endangered"
"Saisiyat","China","Severely endangered"
"Sauk-Fox","United States of America","Critically endangered"
"Sepa","Papua New Guinea","Vulnerable"
"Shark Bay","Vanuatu","Vulnerable"
"Southern Chocho","Mexico","Severely endangered"
"Theen","Lao People's Democratic Republic","Severely endangered"
"Töitschu","Italy","Severely endangered"
"|Xaise","Botswana","Critically endangered"
"Beaver","Canada","Definitely endangered"
"Nootka","Canada","Severely endangered"
"Tipai (Mexico)","Mexico","Severely endangered"
"Uru-eu-au-au","Brazil","Vulnerable"
"Eastern Chocho","Mexico","Severely endangered"
"Bahonsuai","Indonesia","Definitely endangered"
"Bedoanas","Indonesia","Vulnerable"
"Jarawára","Brazil","Vulnerable"
"Keder","Indonesia","Severely endangered"
"Straits Salish","Canada, United States of America","Severely endangered"
"Zo'é","Brazil","Vulnerable"
"Central Ojibwe","Canada","Definitely endangered"
"Kuurinji","Australia","Definitely endangered"
"Mwatebu","Papua New Guinea","Definitely endangered"
"Zazao","Solomon Islands","Critically endangered"
"Zapotec of the Southern mountains, northwest lowlands","Mexico","Definitely endangered"
"Pije","New Caledonia (France)","Severely endangered"
"Aweti","Brazil","Vulnerable"
"Koro","Vanuatu","Definitely endangered"
"Meriam Mir","Australia","Definitely endangered"
"Onjab","Papua New Guinea","Vulnerable"
"Tsimshian","Canada","Critically endangered"
"Chihuahua Lower Pima","Mexico","Definitely endangered"
"Sonora Lower Pima","Mexico","Severely endangered"
"Kaska","Canada","Severely endangered"
"Aikana","Brazil","Definitely endangered"
"Aleut (Eastern)","United States of America","Critically endangered"
"Aleut (Western)","United States of America","Severely endangered"
"Amblong","Vanuatu","Definitely endangered"
"Arguni","Indonesia","Vulnerable"
"Assiniboine (United States of America)","United States of America","Critically endangered"
"Baki","Vanuatu","Vulnerable"
"Cacua","Colombia","Severely endangered"
"Camarines Norte Agta","Philippines","Severely endangered"
"Cubeo (Brazil)","Brazil","Definitely endangered"
"Gwich'in (United States of America)","United States of America","Severely endangered"
"Hiw","Vanuatu","Definitely endangered"
"Katxuyana-Xikuyána","Brazil","Vulnerable"
"Ket","Russian Federation","Severely endangered"
"Koyukon","United States of America","Critically endangered"
"Malmariv","Vanuatu","Vulnerable"
"Mt. Iraya Agta","Philippines","Definitely endangered"
"Ocaina (Peru)","Peru","Critically endangered"
"Papapana","Papua New Guinea","Definitely endangered"
"Quechan","United States of America","Definitely endangered"
"Southern Ayta","Philippines","Critically endangered"
"Tundra Yukagir","Russian Federation","Critically endangered"
"Tupari","Brazil","Definitely endangered"
"Wari","Indonesia","Definitely endangered"
"Yavapai","United States of America","Severely endangered"
"Mlabri","Lao People's Democratic Republic, Thailand","Definitely endangered"
"Negidal","Russian Federation","Critically endangered"
"Suarmin","Papua New Guinea","Definitely endangered"
"Kickapoo (Mexico)","Mexico","Critically endangered"
"Wab","Papua New Guinea","Vulnerable"
"Motocintlec","Mexico","Critically endangered"
"Dengalu","Papua New Guinea","Definitely endangered"
"Dimbong","Cameroon","Critically endangered"
"Kunbarlang","Australia","Severely endangered"
"Machineri (Bolivia)","Bolivia (Plurinational State of)","Severely endangered"
"Taworta","Indonesia","Vulnerable"
"ǂHoa","Botswana","Critically endangered"
"Handuri","India","Critically endangered"
"Suruahá","Brazil","Vulnerable"
"Kutenai","Canada, United States of America","Severely endangered"
"Nauna","Papua New Guinea","Vulnerable"
"Okanagan","Canada, United States of America","Definitely endangered"
"Piu","Papua New Guinea","Definitely endangered"
"Ocaina (Colombia)","Colombia","Severely endangered"
"Yuki","Bolivia (Plurinational State of)","Severely endangered"
"Asurini do Xingu","Brazil","Vulnerable"
"Nahukwa","Brazil","Definitely endangered"
"Aputai","Indonesia","Critically endangered"
"Budibud","Papua New Guinea","Vulnerable"
"Capanahua","Peru","Severely endangered"
"Dâw","Brazil","Vulnerable"
"Ili Turk","China","Severely endangered"
"Lamu","China","Critically endangered"
"Obokuitai","Indonesia","Vulnerable"
"Polonomombauk","Vanuatu","Definitely endangered"
"Samre","Cambodia","Critically endangered"
"Tutuba","Vanuatu","Definitely endangered"
"Northern Tutchone","Canada","Definitely endangered"
"Dubu","Indonesia","Vulnerable"
"Haisla","Canada","Critically endangered"
"Heiltsuk","Canada","Critically endangered"
"Kwegu","Ethiopia","Critically endangered"
"Adnyamathanha","Australia","Definitely endangered"
"Ainbai","Papua New Guinea","Severely endangered"
"Arem","Lao People's Democratic Republic, Viet Nam","Severely endangered"
"Banawá Yafi","Brazil","Vulnerable"
"Bara (Colombia)","Colombia","Critically endangered"
"Bikaru","Papua New Guinea","Severely endangered"
"Boor","Chad","Critically endangered"
"Burate","Indonesia","Severely endangered"
"Callahuaya","Bolivia (Plurinational State of)","Critically endangered"
"Comanche","United States of America","Severely endangered"
"Dabra","Indonesia","Vulnerable"
"Djinang","Australia","Definitely endangered"
"Dulbu","Nigeria","Critically endangered"
"Ghomara","Morocco","Critically endangered"
"Itelmen","Russian Federation","Critically endangered"
"Jebero","Peru","Critically endangered"
"Jilbe","Nigeria","Critically endangered"
"Kalamo","Papua New Guinea","Severely endangered"
"Kanowit","Malaysia","Severely endangered"
"Karas","Indonesia","Severely endangered"
"Kiong","Nigeria","Critically endangered"
"Kofei","Indonesia","Severely endangered"
"Likum","Papua New Guinea","Definitely endangered"
"Maricopa","United States of America","Severely endangered"
"Mohave (Arizona)","United States of America","Severely endangered"
"Mohave (California)","United States of America","Severely endangered"
"Molo","Sudan","Critically endangered"
"Mulao","China","Severely endangered"
"Mvanip","Nigeria","Critically endangered"
"Nafi","Papua New Guinea","Severely endangered"
"Nemadi","Mauritania","Critically endangered"
"Ninam (Venezuela)","Venezuela (Bolivarian Republic of)","Vulnerable"
"Omagua (Peru)","Peru","Critically endangered"
"Oroch","Russian Federation","Critically endangered"
"Oroha","Solomon Islands","Severely endangered"
"Pauwi","Indonesia","Vulnerable"
"Piame","Papua New Guinea","Severely endangered"
"Pyu","Indonesia","Severely endangered"
"Ruga","India","Critically endangered"
"Sahaptin","United States of America","Severely endangered"
"Samatao","China","Critically endangered"
"Seneca (United States of America)","United States of America","Severely endangered"
"Senggi","Indonesia","Vulnerable"
"Shawnee","United States of America","Severely endangered"
"Shiwiar","Ecuador","Severely endangered"
"Shompen","India","Critically endangered"
"Soo","Uganda","Critically endangered"
"Tai Nora","India","Critically endangered"
"Tai Rong","India","Critically endangered"
"Tangam","India","Critically endangered"
"Tariana (Brazil)","Brazil","Critically endangered"
"Tirahi","Afghanistan","Critically endangered"
